alias	gene_id	gene_symbol	gene_desc
CXCL13	574224	CXCL13	C-X-C motif chemokine ligand 13
CX3CL1	574225	CX3CL1	C-X3-C motif chemokine ligand 1
NR1I2	574226	NR1I2	nuclear receptor subfamily 1 group I member 2
PDHB	574227	PDHB	pyruvate dehydrogenase E1 subunit beta
NRCAM	574228	NRCAM	neuronal cell adhesion molecule
CNTNAP1	574229	CNTNAP1	contactin associated protein 1
CHRNA7	574230	CHRNA7	cholinergic receptor nicotinic alpha 7 subunit
CCR7	574231	CCR7	C-C motif chemokine receptor 7
MCHR1	574232	MCHR1	melanin concentrating hormone receptor 1
GYS1	574233	GYS1	glycogen synthase 1
CFLAR	574234	CFLAR	CASP8 and FADD like apoptosis regulator
ABCB1	574235	ABCB1	ATP binding cassette subfamily B member 1
CELA3B	574236	CELA3B	chymotrypsin like elastase 3B
PI3	574237	PI3	peptidase inhibitor 3
ART5	574238	ART5	ADP-ribosyltransferase 5
TGIF2LX	574239	TGIF2LX	TGFB induced factor homeobox 2 like X-linked
NKG2D	574240	NKG2D	NKG2D protein
LY6G5C	574241	LY6G5C	lymphocyte antigen 6 family member G5C
NCR1	574242	NCR1	natural cytotoxicity triggering receptor 1
CXCL10	574243	CXCL10	C-X-C motif chemokine ligand 10
FMO3	574244	FMO3	flavin containing dimethylaniline monoxygenase 3
UTS2R	574245	UTS2R	urotensin 2 receptor
UTS2	574246	UTS2	urotensin 2
TRA2A	574247	TRA2A	transformer 2 alpha homolog
MMP26	574248	MMP26	matrix metallopeptidase 26
NR1I3	574249	NR1I3	nuclear receptor subfamily 1 group I member 3
MMP28	574250	MMP28	matrix metallopeptidase 28
TSHR	574251	TSHR	thyroid stimulating hormone receptor
OPTN	574252	OPTN	optineurin
HRH3	574253	HRH3	histamine receptor H3
KITLG	574254	KITLG	KIT ligand
PAFAH1B1	574255	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1
SLC15A1	574257	SLC15A1	solute carrier family 15 member 1
PPP3R2	574258	PPP3R2	protein phosphatase 3 regulatory subunit B, beta
FUNDC2	574259	FUNDC2	FUN14 domain containing 2
ATP5F1E	574260	ATP5F1E	ATP synthase F1 subunit epsilon
BRS3	574261	BRS3	bombesin receptor subtype 3
NMBR	574262	NMBR	neuromedin B receptor
CA2	574263	CA2	carbonic anhydrase 2
CTNNB1	574265	CTNNB1	catenin beta 1
DDX17	574266	DDX17	DEAD-box helicase 17
ERCC1	574267	ERCC1	ERCC excision repair 1, endonuclease non-catalytic subunit
GOSR1	574268	GOSR1	golgi SNAP receptor complex member 1
GTF2I	574269	GTF2I	general transcription factor IIi
KIF3A	574270	KIF3A	kinesin family member 3A
HSPA2	574271	HSPA2	heat shock protein family A (Hsp70) member 2
MAP1B	574272	MAP1B	microtubule associated protein 1B
MYO5A	574273	MYO5A	myosin VA
PTPRS	574274	PTPRS	protein tyrosine phosphatase receptor type S
SHC3	574275	SHC3	SHC adaptor protein 3
THBS4	574276	THBS4	thrombospondin 4
ZNHIT3	574277	ZNHIT3	zinc finger HIT-type containing 3
TWIST1	574278	TWIST1	twist family bHLH transcription factor 1
XRCC5	574279	XRCC5	X-ray repair cross complementing 5
GHRL	574280	GHRL	ghrelin and obestatin prepropeptide
IL4	574281	IL4	interleukin 4
IFNG	574282	IFNG	interferon gamma
LDLR	574283	LDLR	low density lipoprotein receptor
VLDLR	574284	VLDLR	very low density lipoprotein receptor
ACTB	574285	ACTB	actin beta
DEFB119	574286	DEFB119	defensin beta 119
DEFB119	574287	DEFB119	defensin, beta 119
TRIM5	574288	TRIM5	tripartite motif containing 5
TLR1	574289	TLR1	toll like receptor 1
TLR2	574290	TLR2	toll like receptor 2
TLR7	574291	TLR7	toll like receptor 7
TLR8	574292	TLR8	toll like receptor 8
AR	574293	AR	androgen receptor
TICAM1	574294	TICAM1	toll like receptor adaptor molecule 1
CLCA1	574295	CLCA1	chloride channel accessory 1
CD36	574296	CD36	CD36 molecule
TAZ	574297	TAZ	tafazzin
MIF	574298	MIF	macrophage migration inhibitory factor
REN	574299	REN	renin
IL2RA	574300	IL2RA	interleukin 2 receptor subunit alpha
NRP2	574301	NRP2	neuropilin 2
GABRA1	574302	GABRA1	gamma-aminobutyric acid type A receptor subunit alpha1
FOXP3	574303	FOXP3	forkhead box P3
NGFR	574304	NGFR	nerve growth factor receptor
KISS1R	574305	KISS1R	KISS1 receptor
KISS1	574306	KISS1	KiSS-1 metastasis suppressor
ABCG2	574307	ABCG2	ATP binding cassette subfamily G member 2
LOC574308	574308	LOC574308	alpha-defensin 1 precursor
LOC574309	574309	LOC574309	alpha-defensin 2 precursor
LOC574310	574310	LOC574310	alpha-defensin 3 precursor
DEFA4	574311	DEFA4	defensin, alpha 4, corticostatin
ITGB1	574312	ITGB1	integrin subunit beta 1
CST3	574313	CST3	cystatin C
RPL13A	574314	RPL13A	ribosomal protein L13a
ITGA5	574315	ITGA5	integrin subunit alpha 5
CDK20	574316	CDK20	cyclin dependent kinase 20
ATP2B4	574317	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
PAEP	574318	PAEP	progestagen-associated endometrial protein
CCND1	574320	CCND1	cyclin D1
DNMT1	574321	DNMT1	DNA methyltransferase 1
HSD11B1	574322	HSD11B1	hydroxysteroid 11-beta dehydrogenase 1
NDN	574323	NDN	necdin, MAGE family member
CGB8	574324	CGB8	chorionic gonadotropin, beta polypeptide 8
IL13	574325	IL13	interleukin 13
ABCC13	574326	ABCC13	ATP-binding cassette transporter 13
MAPT	574327	MAPT	microtubule associated protein tau
TLR5	574328	TLR5	toll like receptor 5
RAMP1	574329	RAMP1	receptor activity modifying protein 1
CHRM5	574330	CHRM5	cholinergic receptor muscarinic 5
AIPL1	574331	AIPL1	aryl hydrocarbon receptor interacting protein like 1
FAS	574332	FAS	Fas cell surface death receptor
CNTN2	574333	CNTN2	contactin 2
CXCL12	574334	CXCL12	C-X-C motif chemokine ligand 12
CCR6	574335	CCR6	C-C motif chemokine receptor 6
CXCL9	574336	CXCL9	C-X-C motif chemokine ligand 9
TRA2B	574337	TRA2B	transformer 2 beta homolog
GRPR	574339	GRPR	gastrin releasing peptide receptor
SMAD1	574340	SMAD1	SMAD family member 1
HSPB8	574341	HSPB8	heat shock protein family B (small) member 8
TLR6	574342	TLR6	toll like receptor 6
INHBB	574343	INHBB	inhibin subunit beta B
GRIA2	574344	GRIA2	glutamate ionotropic receptor AMPA type subunit 2
FGF7	574345	FGF7	fibroblast growth factor 7
CFTR	574346	CFTR	CF transmembrane conductance regulator
TAF7	574347	TAF7	TATA-box binding protein associated factor 7
TIMP1	574348	TIMP1	TIMP metallopeptidase inhibitor 1
SLC17A7	574349	SLC17A7	solute carrier family 17 member 7
ASMT	574350	ASMT	acetylserotonin O-methyltransferase
DYNC1I1	574351	DYNC1I1	dynein cytoplasmic 1 intermediate chain 1
PRKCI	574352	PRKCI	protein kinase C iota
GAPDH	574353	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
SLCO1B3	574354	SLCO1B3	solute carrier organic anion transporter family member 1B3
NPSR1	574355	NPSR1	neuropeptide S receptor 1
CLEC7A	574356	CLEC7A	C-type lectin domain containing 7A
TIMP2	574357	TIMP2	TIMP metallopeptidase inhibitor 2
SLC1A2	574358	SLC1A2	solute carrier family 1 member 2
LYNX1	574359	LYNX1	Ly6/neurotoxin 1
TLR4	574360	TLR4	toll like receptor 4
KCND2	574361	KCND2	potassium voltage-gated channel subfamily D member 2
CHRM1	574362	CHRM1	cholinergic receptor muscarinic 1
RPLP0	574363	RPLP0	ribosomal protein lateral stalk subunit P0
PTPRA	574364	PTPRA	protein tyrosine phosphatase receptor type A
CNTN1	574365	CNTN1	contactin 1
CCL23	574366	CCL23	chemokine (C-C motif) ligand 23
XCL1	574367	XCL1	chemokine (C motif) ligand 1
NLGN2	574368	NLGN2	neuroligin 2
MCHR2	574369	MCHR2	melanin concentrating hormone receptor 2
IDO1	574370	IDO1	indoleamine 2,3-dioxygenase 1
CSF2	574371	CSF2	colony stimulating factor 2
CXCL11	574372	CXCL11	C-X-C motif chemokine ligand 11
CD209L2	574373	CD209L2	C-type lectin CD209L2
S100A10	574374	S100A10	S100 calcium binding protein A10
SLC15A2	574375	SLC15A2	solute carrier family 15 member 2
GFPT1	574376	GFPT1	glutamine--fructose-6-phosphate transaminase 1
SPANXN	574377	SPANXN	sperm protein associated with the nucleus
TLR3	574378	TLR3	toll like receptor 3
INHA	574379	INHA	inhibin subunit alpha
GRIN1	574380	GRIN1	glutamate ionotropic receptor NMDA type subunit 1
TIMP3	574381	TIMP3	TIMP metallopeptidase inhibitor 3
LOC574382	574382	LOC574382	alpha-defensin 5 precursor
LOC574383	574383	LOC574383	alpha-defensin 6 precursor
SASH1	574384	SASH1	SAM and SH3 domain containing 1
CTNNA1	574385	CTNNA1	catenin alpha 1
CCL19	574386	CCL19	C-C motif chemokine ligand 19
IL1RAP	574387	IL1RAP	interleukin 1 receptor accessory protein
CHGA	574388	CHGA	chromogranin A
KLRF1	574389	KLRF1	killer cell lectin like receptor F1
CUX1	574390	CUX1	cut like homeobox 1
SFRP4	574393	SFRP4	secreted frizzled related protein 4
GNAO1	574394	GNAO1	G protein subunit alpha o1
TLR9	574395	TLR9	toll like receptor 9
HSD11B2	574396	HSD11B2	hydroxysteroid 11-beta dehydrogenase 2
KCNN3	574397	KCNN3	potassium calcium-activated channel subfamily N member 3
APOBEC3G	574398	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G
TFCP2	574399	TFCP2	transcription factor CP2
MIR127	606739	MIR127	microRNA mir-127
SPRR1B	613022	SPRR1B	small proline rich protein 1B
RHCE	613023	RHCE	Rh blood group, CcEe antigens
PGR	613024	PGR	progesterone receptor
ESR1	613025	ESR1	estrogen receptor 1
TFPI	613026	TFPI	tissue factor pathway inhibitor
EGFR	613027	EGFR	epidermal growth factor receptor
CXCL8	613028	CXCL8	C-X-C motif chemokine ligand 8
GAD2	613029	GAD2	glutamate decarboxylase 2
GAD1	613030	GAD1	glutamate decarboxylase 1
TGFA	613031	TGFA	transforming growth factor alpha
HTR2A	613032	HTR2A	5-hydroxytryptamine receptor 2A
GNRH1	613033	GNRH1	gonadotropin releasing hormone 1
ZAN	613228	ZAN	zonadhesin
ADGRG1	613233	ADGRG1	adhesion G protein-coupled receptor G1
FOXP2	613237	FOXP2	forkhead box P2
SLC6A2	613238	SLC6A2	solute carrier family 6 member 2
UGT2B9*2	613249	UGT2B9*2	UDP Glucuronosyltransferase 2 family, polypeptide B9*2
PPARA	613250	PPARA	peroxisome proliferator activated receptor alpha
PTGER1	613251	PTGER1	prostaglandin E receptor 1
CD1D	613268	CD1D	CD1d molecule
FN1	613269	FN1	fibronectin 1
NPVF	613271	NPVF	neuropeptide VF precursor
RTN4	619181	RTN4	reticulon 4
RTN1	619184	RTN1	reticulon 1
NRXN1	619185	NRXN1	neurexin 1
CAMP	619186	CAMP	cathelicidin antimicrobial peptide
PCDHA11	619187	PCDHA11	protocadherin alpha 11
DEFB123	619504	DEFB123	defensin beta 123
DEFB122	619506	DEFB122	beta defensin 122
DEFB121	619507	DEFB121	defensin beta 121
CCL3	619514	CCL3	chemokine (C-C motif) ligand 3
LOC619515	619515	LOC619515	ubiquinol-cytochrome c reductase hinge protein pseudogene
GNRH2	619516	GNRH2	gonadotropin releasing hormone 2
NGB	641331	NGB	neuroglobin
NDUFA4	641333	NDUFA4	NDUFA4 mitochondrial complex associated
SPATA4	641336	SPATA4	spermatogenesis associated 4
CNP	641337	CNP	2',3'-cyclic nucleotide 3' phosphodiesterase
IL2RG	641338	IL2RG	interleukin 2 receptor subunit gamma
RIMS1	641435	RIMS1	regulating synaptic membrane exocytosis 1
SPAG11B	641436	SPAG11B	sperm associated antigen 11B
KCND3	641437	KCND3	potassium voltage-gated channel subfamily D member 3
DEFB118	641438	DEFB118	defensin beta 118
OSCP1	641439	OSCP1	organic solute carrier partner 1
BNIP3L	641440	BNIP3L	BCL2 interacting protein 3 like
ZNF267	641441	ZNF267	zinc finger protein 267
LRPPRC	641443	LRPPRC	leucine rich pentatricopeptide repeat containing
NEFL	641444	NEFL	neurofilament light
COX11	641445	COX11	cytochrome c oxidase copper chaperone COX11
AKAP12	641446	AKAP12	A-kinase anchoring protein 12
PAPOLA	641447	PAPOLA	poly(A) polymerase alpha
SNW1	641448	SNW1	SNW domain containing 1
STRADB	641449	STRADB	STE20 related adaptor beta
TDRD7	641450	TDRD7	tudor domain containing 7
TACR1	653008	TACR1	tachykinin receptor 1
TACR3	653013	TACR3	tachykinin receptor 3
MACO1	654415	MACO1	macoilin 1
LACRT	654418	LACRT	lacritin
CST11	654419	CST11	cystatin 11
ADGRE2	654420	ADGRE2	adhesion G protein-coupled receptor E2
ABCC9	654489	ABCC9	ATP binding cassette subfamily C member 9
ABCC8	654490	ABCC8	ATP binding cassette subfamily C member 8
DPP4	654491	DPP4	dipeptidyl peptidase 4
JPT1	664729	JPT1	Jupiter microtubule associated homolog 1
TPH2	664730	TPH2	tryptophan hydroxylase 2
RHCG	664731	RHCG	Rh family C glycoprotein
DSTYK	664732	DSTYK	dual serine/threonine and tyrosine protein kinase
PSIP1	664733	PSIP1	PC4 and SFRS1 interacting protein 1
FCAR	664734	FCAR	Fc fragment of IgA receptor
TCOF1	664735	TCOF1	treacle ribosome biogenesis factor 1
SEPTIN7	677666	SEPTIN7	septin 7
EPCAM	677680	EPCAM	epithelial cell adhesion molecule
RBM26	677684	RBM26	RNA binding motif protein 26
WDR77	677686	WDR77	WD repeat domain 77
CCNI	677687	CCNI	cyclin I
PDE6A	677688	PDE6A	phosphodiesterase 6A
JAK1	677689	JAK1	Janus kinase 1
TSR3	677691	TSR3	TSR3 ribosome maturation factor
LOC677692	677692	LOC677692	beta-glucuronidase
NLK	677693	NLK	nemo like kinase
DDX5	677694	DDX5	DEAD-box helicase 5
RP1	677695	RP1	RP1 axonemal microtubule associated
PCDH9	677696	PCDH9	protocadherin 9
CFAP36	677698	CFAP36	cilia and flagella associated protein 36
COMMD3	677699	COMMD3	COMM domain containing 3
UNC50	677700	UNC50	unc-50 inner nuclear membrane RNA binding protein
TMBIM6	677702	TMBIM6	transmembrane BAX inhibitor motif containing 6
SMN1	677703	SMN1	survival of motor neuron 1, telomeric
WIF1	677704	WIF1	WNT inhibitory factor 1
IARS1	677705	IARS1	isoleucyl-tRNA synthetase 1
TVP23B	677707	TVP23B	trans-golgi network vesicle protein 23 homolog B
PCMTD2	677708	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2
TOP2B	677709	TOP2B	DNA topoisomerase II beta
TAOK3	677710	TAOK3	TAO kinase 3
SMC1A	677711	SMC1A	structural maintenance of chromosomes 1A
ADD3	677712	ADD3	adducin 3
FSTL5	677713	FSTL5	follistatin like 5
KIFAP3	677714	KIFAP3	kinesin associated protein 3
IDH3A	677715	IDH3A	isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha
MRPL44	677716	MRPL44	mitochondrial ribosomal protein L44
ANKS1A	677717	ANKS1A	ankyrin repeat and sterile alpha motif domain containing 1A
RBBP8	677718	RBBP8	RB binding protein 8, endonuclease
PSMB5	677719	PSMB5	proteasome 20S subunit beta 5
STRC	677720	STRC	stereocilin
CALB1	677721	CALB1	calbindin 1
BTD	677722	BTD	biotinidase
ACAD8	677723	ACAD8	acyl-CoA dehydrogenase family member 8
PELP1	677854	PELP1	proline, glutamate and leucine rich protein 1
CD2	677855	CD2	CD2 molecule
UQCRC1	677864	UQCRC1	ubiquinol-cytochrome c reductase core protein 1
ATP6V0A1	677865	ATP6V0A1	ATPase H+ transporting V0 subunit a1
CLU	677866	CLU	clusterin
OSBPL1A	677867	OSBPL1A	oxysterol binding protein like 1A
TNFSF18	678654	TNFSF18	TNF superfamily member 18
SFTPD	678657	SFTPD	surfactant protein D
CYP3A4	678670	CYP3A4	cytochrome P450 3A64
CYP2C8	678683	CYP2C8	cytochrome P450, family 2, subfamily C, polypeptide 8
CYP2C75	678686	CYP2C75	cytochrome P450, family 2, subfamily C, polypeptide 75
CYP2B6	678687	CYP2B6	cytochrome P450, family 2, subfamily B, polypeptide 6
CYP2E1	678688	CYP2E1	cytochrome P450, family 2, subfamily E, polypeptide 1
CYP2A24	678689	CYP2A24	cytochrome P450, family 2, subfamily A, polypeptide 24
CYP2A23	678690	CYP2A23	cytochrome P450, family 2, subfamily A, polypeptide 23
CYP2D6	678691	CYP2D6	cytochrome P450, family 2, subfamily D, polypeptide 6
CYP3A5	678692	CYP3A5	cytochrome P450, family 3, subfamily A, polypeptide 5
CYP17A1	678693	CYP17A1	cytochrome P450c17
CYP1A1	678694	CYP1A1	cytochrome P450, family 1, subfamily A, polypeptide 1
CYP2C9	678695	CYP2C9	cytochrome P450, family 2, subfamily C, polypeptide 43
CYP2F1	678696	CYP2F1	cytochrome P450, family 2, subfamily F, polypeptide 6
CYP19A1	678697	CYP19A1	cytochrome P450, family 19, subfamily A, polypeptide 1
SCN2B	678698	SCN2B	sodium voltage-gated channel beta subunit 2
NRXN3	678699	NRXN3	neurexin 3
BPIFA4	688385	BPIFA4	BPI fold containing family A, member 4
COX7A1	692060	COX7A1	cytochrome c oxidase subunit 7A1
COX5A	692061	COX5A	cytochrome c oxidase subunit 5A
COX6B1	692062	COX6B1	cytochrome c oxidase subunit 6B
RHBG	692069	RHBG	Rh family B glycoprotein
ELOVL4	692070	ELOVL4	ELOVL fatty acid elongase 4
CXCR1	692074	CXCR1	C-X-C motif chemokine receptor 1
MRGPRX3	692077	MRGPRX3	MAS-related GPR, member X3
MRGPRX2	692078	MRGPRX2	MAS related GPR family member X2
DROSHA	692081	DROSHA	drosha ribonuclease III
KPNA1	692082	KPNA1	karyopherin subunit alpha 1
PCDHA5	692083	PCDHA5	protocadherin alpha 5
MAMU-DRB1	692100	MAMU-DRB1	MHC class II antigen
MRGPRX1	692101	MRGPRX1	MAS-related GPR, member X1
MRGPRX4	692123	MRGPRX4	MAS-related GPR, member X4
LILRAB	692334	LILRAB	leukocyte immunoglobulin-like receptor, subfamily A, member b
LILRB4	692336	LILRB4	leukocyte immunoglobulin like receptor B4
LILRA3	692337	LILRA3	leukocyte immunoglobulin like receptor A3
LILRA6	692338	LILRA6	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 6
LILRBB	692339	LILRBB	leukocyte immunoglobulin-like receptor, subfamily B, member b
LILRB1	692340	LILRB1	leukocyte immunoglobulin like receptor B1
LILRA2	692341	LILRA2	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2
LILRA1	692342	LILRA1	leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1
EPHA2	692343	EPHA2	EPH receptor A2
SET	693242	SET	SET nuclear proto-oncogene
CCDC190	693267	CCDC190	coiled-coil domain containing 190
MB	693269	MB	myoglobin
BBS10	693270	BBS10	Bardet-Biedl syndrome 10
LOC693271	693271	LOC693271	uncharacterized LOC693271
LOC693272	693272	LOC693272	60S ribosomal protein L15 pseudogene
NAB1	693274	NAB1	NGFI-A binding protein 1
DDX18	693278	DDX18	DEAD-box helicase 18
PPP1R32	693280	PPP1R32	protein phosphatase 1 regulatory subunit 32
FBXO3	693281	FBXO3	F-box protein 3
SPTY2D1	693282	SPTY2D1	SPT2 chromatin protein domain containing 1
LOC693283	693283	LOC693283	putative tripartite motif-containing protein 49B
PLGRKT	693286	PLGRKT	plasminogen receptor with a C-terminal lysine
LOC693287	693287	LOC693287	60S ribosomal protein L6 pseudogene
ABCA8	693289	ABCA8	ATP binding cassette subfamily A member 8
VPS36	693290	VPS36	vacuolar protein sorting 36 homolog
LOC693291	693291	LOC693291	fatty acyl-CoA reductase 1 pseudogene
CNOT3	693292	CNOT3	CCR4-NOT transcription complex subunit 3
RPSA	693293	RPSA	ribosomal protein SA
LOC693294	693294	LOC693294	60S ribosomal protein L8 pseudogene
SNRNP25	693295	SNRNP25	small nuclear ribonucleoprotein U11/U12 subunit 25
ARL6IP1	693296	ARL6IP1	ADP ribosylation factor like GTPase 6 interacting protein 1
CDH5	693297	CDH5	cadherin 5
GSE1	693298	GSE1	Gse1 coiled-coil protein
ERG	693300	ERG	ETS transcription factor ERG
ARL4A	693302	ARL4A	ADP ribosylation factor like GTPase 4A
ADCK2	693303	ADCK2	aarF domain containing kinase 2
DNAJB6	693305	DNAJB6	DnaJ heat shock protein family (Hsp40) member B6
TENT5A	693306	TENT5A	terminal nucleotidyltransferase 5A
LGI2	693308	LGI2	leucine rich repeat LGI family member 2
PLAC8	693310	PLAC8	placenta associated 8
ABHD18	693312	ABHD18	abhydrolase domain containing 18
EGFLAM	693314	EGFLAM	EGF like, fibronectin type III and laminin G domains
EDIL3	693315	EDIL3	EGF like repeats and discoidin domains 3
PAIP2	693317	PAIP2	poly(A) binding protein interacting protein 2
MED6	693320	MED6	mediator complex subunit 6
GALC	693322	GALC	galactosylceramidase
ATP6V1H	693323	ATP6V1H	ATPase H+ transporting V1 subunit H
