alias	gene_id	gene_symbol	gene_desc
SSTR5	403454	SSTR5	somatostatin receptor 5
SSTR1	403455	SSTR1	somatostatin receptor 1
ICOS	403456	ICOS	inducible T cell costimulator
BHLHE41	403457	BHLHE41	basic helix-loop-helix family member e41
CTSC	403458	CTSC	cathepsin C
AP3B1	403459	AP3B1	adaptor related protein complex 3 subunit beta 1
BDNF	403461	BDNF	brain derived neurotrophic factor
FCGR1A	403462	FCGR1A	Fc fragment of IgG, high affinity Ia, receptor (CD64)
TFAP2B	403463	TFAP2B	transcription factor AP-2 beta
SOX9	403464	SOX9	SRY-box transcription factor 9
COL4A5	403466	COL4A5	collagen type IV alpha 5 chain
COL7A1	403467	COL7A1	collagen type VII alpha 1 chain
CD40LG	403468	CD40LG	CD40 ligand
CD40	403469	CD40	CD40 molecule
DSG3	403470	DSG3	desmoglein 3
KCNE2	403471	KCNE2	potassium voltage-gated channel subfamily E regulatory subunit 2
SSTR2	403472	SSTR2	somatostatin receptor 2
BAIAP2	403473	BAIAP2	BAR/IMD domain containing adaptor protein 2
CAT	403474	CAT	catalase
SREBF1	403475	SREBF1	sterol regulatory element binding transcription factor 1
SERPINE1	403476	SERPINE1	serpin family E member 1
RECK	403477	RECK	reversion inducing cysteine rich protein with kazal motifs
KLRA1	403478	KLRA1	killer cell lectin-like receptor subfamily A, member 1
TYRP1	403479	TYRP1	tyrosinase related protein 1
ATP2B1	403480	ATP2B1	ATPase plasma membrane Ca2+ transporting 1
NR1I2	403482	NR1I2	nuclear receptor subfamily 1 group I member 2
CGA	403483	CGA	glycoprotein hormones, alpha polypeptide
SPTAN1	403484	SPTAN1	spectrin alpha, non-erythrocytic 1
SCN2B	403485	SCN2B	sodium voltage-gated channel beta subunit 2
PPP3CA	403486	PPP3CA	protein phosphatase 3 catalytic subunit alpha
MTPN	403487	MTPN	myotrophin
TFF3	403488	TFF3	trefoil factor 3
TFF2	403489	TFF2	trefoil factor 2
SLC23A2	403490	SLC23A2	solute carrier family 23 member 2
TFF1	403491	TFF1	trefoil factor 1
G6PC1	403492	G6PC1	glucose-6-phosphatase catalytic subunit 1
RET	403494	RET	ret proto-oncogene
MLANA	403495	MLANA	melan-A
COL4A1	403496	COL4A1	collagen type IV alpha 1 chain
SCN5A	403497	SCN5A	sodium voltage-gated channel alpha subunit 5
ARHGEF2	403498	ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2
LMX1B	403499	LMX1B	LIM homeobox transcription factor 1 beta
EBAG9	403500	EBAG9	estrogen receptor binding site associated antigen 9
SLC46A2	403501	SLC46A2	solute carrier family 46 member 2
TLR9	403502	TLR9	toll like receptor 9
CA6	403503	CA6	carbonic anhydrase 6
DEFB122	403504	DEFB122	beta-defensin 122
DYNLT3	403505	DYNLT3	dynein light chain Tctex-type 3
EEF1A1	403506	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
KITLG	403507	KITLG	KIT ligand
EDN2	403508	EDN2	endothelin 2
UMOD	403510	UMOD	uromodulin
GNB3	403511	GNB3	G protein subunit beta 3
CPB1	403512	CPB1	carboxypeptidase B1
TBX4	403514	TBX4	T-box transcription factor 4
CELA1	403515	CELA1	chymotrypsin like elastase 1
CACNA1C	403516	CACNA1C	calcium voltage-gated channel subunit alpha1 C
RHPN2	403518	RHPN2	rhophilin Rho GTPase binding protein 2
SLCO1B3	403519	SLCO1B3	solute carrier organic anion transporter family member 1B3
SLCO1A2	403520	SLCO1A2	solute carrier organic anion transporter family member 1A2
TPO	403521	TPO	thyroid peroxidase
CCL5	403522	CCL5	C-C motif chemokine ligand 5
BAX	403523	BAX	BCL2 associated X, apoptosis regulator
RWDD4	403525	RWDD4	RWD domain containing 4
TMEM245	403527	TMEM245	transmembrane protein 245
TMEM132C	403528	TMEM132C	transmembrane protein 132C
STK25	403531	STK25	serine/threonine kinase 25
TNNT2	403532	TNNT2	troponin T2, cardiac type
CACNA1H	403533	CACNA1H	calcium voltage-gated channel subunit alpha1 H
ANP32A	403534	ANP32A	acidic nuclear phosphoprotein 32 family member A
RABAC1	403535	RABAC1	Rab acceptor 1
TPMT	403536	TPMT	thiopurine S-methyltransferase
MCL1	403537	MCL1	MCL1 apoptosis regulator, BCL2 family member
RHBG	403538	RHBG	Rh family B glycoprotein
ASB17	403539	ASB17	ankyrin repeat and SOCS box containing 17
CCR4	403541	CCR4	C-C motif chemokine receptor 4
ARHGAP35	403543	ARHGAP35	Rho GTPase activating protein 35
PTGS1	403544	PTGS1	prostaglandin-endoperoxide synthase 1
IL6ST	403545	IL6ST	interleukin 6 signal transducer
TUBD1	403546	TUBD1	tubulin delta 1
ID3	403547	ID3	inhibitor of DNA binding 3, HLH protein
ALPL	403548	ALPL	alkaline phosphatase, biomineralization associated
ALB	403550	ALB	albumin
AFP	403551	AFP	alpha fetoprotein
PGB1	403552	PGB1	pepsinogen B1
HSPB8	403553	HSPB8	heat shock protein family B (small) member 8
CNGB3	403554	CNGB3	cyclic nucleotide gated channel subunit beta 3
LOC403555	403555	LOC403555	SET translocation
PRKACA	403556	PRKACA	protein kinase cAMP-activated catalytic subunit alpha
PPP1CC	403557	PPP1CC	protein phosphatase 1 catalytic subunit gamma
PPP1CB	403558	PPP1CB	protein phosphatase 1 catalytic subunit beta
SOD1	403559	SOD1	superoxide dismutase 1
PCK1	403560	PCK1	phosphoenolpyruvate carboxykinase 1
SLC15A1	403561	SLC15A1	solute carrier family 15 member 1
MCHR2	403562	MCHR2	melanin concentrating hormone receptor 2
MCHR1	403563	MCHR1	melanin concentrating hormone receptor 1
RP1	403565	RP1	RP1 axonemal microtubule associated
TNNI3	403566	TNNI3	troponin I3, cardiac type
CASP3	403567	CASP3	caspase 3
RAD51	403568	RAD51	RAD51 recombinase
GJB2	403570	GJB2	gap junction protein beta 2
GCG	403571	GCG	glucagon
TMEM47	403572	TMEM47	transmembrane protein 47
UCP1	403574	UCP1	uncoupling protein 1
UCP3	403575	UCP3	uncoupling protein 3
UCP2	403576	UCP2	uncoupling protein 2
CRX	403577	CRX	cone-rod homeobox
AVP	403579	AVP	arginine vasopressin
ACTB	403580	ACTB	actin beta
LOC403581	403581	LOC403581	peptidylprolyl isomerase A (cyclophilin A) pseudogene
COL6A3	403582	COL6A3	collagen type VI alpha 3 chain
CPT1A	403583	CPT1A	carnitine palmitoyltransferase 1A
IL15	403584	IL15	interleukin 15
SAA1	403585	SAA1	serum amyloid A1
CCL17	403586	CCL17	C-C motif chemokine ligand 17
GHRL	403587	GHRL	ghrelin and obestatin prepropeptide
AR	403588	AR	androgen receptor
PTGER4	403589	PTGER4	prostaglandin E receptor 4
COMMD1	403590	COMMD1	copper metabolism domain containing 1
OPTC	403591	OPTC	opticin
TCOF1	403592	TCOF1	treacle ribosome biogenesis factor 1
SLC35C1	403593	SLC35C1	solute carrier family 35 member C1
SLC35A1	403594	SLC35A1	solute carrier family 35 member A1
SLC35A2	403595	SLC35A2	solute carrier family 35 member A2
KCNIP2	403598	KCNIP2	potassium voltage-gated channel interacting protein 2
THRB	403599	THRB	thyroid hormone receptor beta
THR	403600	THR	thyroid hormone receptor beta1
THRA	403601	THRA	thyroid hormone receptor alpha
PLG	403602	PLG	plasminogen
FMO3	403603	FMO3	flavin containing dimethylaniline monoxygenase 3
FMO1	403604	FMO1	flavin containing dimethylaniline monoxygenase 1
PPARG	403606	PPARG	peroxisome proliferator activated receptor gamma
LIPE	403607	LIPE	lipase E, hormone sensitive type
PPP2CA	403608	PPP2CA	protein phosphatase 2 catalytic subunit alpha
PPP1CA	403609	PPP1CA	protein phosphatase 1 catalytic subunit alpha
FZD6	403610	FZD6	frizzled class receptor 6
HSP70	403612	HSP70	heat shock protein 70
GNAT1	403613	GNAT1	G protein subunit alpha transducin 1
MYL2	403614	MYL2	myosin light chain 2
RYR2	403615	RYR2	ryanodine receptor 2
LEP	403616	LEP	leptin
GNGT2	403617	GNGT2	G protein subunit gamma transducin 2
BCL2L1	403618	BCL2L1	BCL2 like 1
FABP1	403619	FABP1	fatty acid binding protein 1
PDE6A	403620	PDE6A	phosphodiesterase 6A
PGR	403621	PGR	progesterone receptor
IL13RA2	403622	IL13RA2	interleukin 13 receptor subunit alpha 2
IL13RA1	403623	IL13RA1	interleukin 13 receptor subunit alpha 1
PDC	403624	PDC	phosducin
ADIPOQ	403625	ADIPOQ	adiponectin, C1Q and collagen domain containing
LPL	403626	LPL	lipoprotein lipase
TTPA	403627	TTPA	alpha tocopherol transfer protein
IL10	403628	IL10	interleukin 10
UGT1A6	403629	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6
TGM1	403630	TGM1	transglutaminase 1
FTH1	403631	FTH1	ferritin, heavy polypeptide 1
ABCC2	403632	ABCC2	ATP binding cassette subfamily C member 2
TIMP2	403633	TIMP2	TIMP metallopeptidase inhibitor 2
TNFRSF1A	403634	TNFRSF1A	TNF receptor superfamily member 1A
DIO1	403635	DIO1	iodothyronine deiodinase 1
SULT1B1	403636	SULT1B1	sulfotransferase family 1B member 1
SULT1D1	403637	SULT1D1	sulfotransferase family, cytosolic, 1D, member 1
GP1BA	403638	GP1BA	glycoprotein Ib platelet subunit alpha
ESR2	403639	ESR2	estrogen receptor 2
ESR1	403640	ESR1	estrogen receptor 1
ETV4	403641	ETV4	ETS variant transcription factor 4
SLAMF1	403642	SLAMF1	signaling lymphocytic activation molecule family member 1
CES1	403643	CES1	carboxylesterase 1
CSN2	403644	CSN2	casein beta
RPLP0P	403645	RPLP0P	ribosomal protein, large, P0 pseudogene
CD28	403646	CD28	CD28 molecule
SGK1	403647	SGK1	serum/glucocorticoid regulated kinase 1
CLDN3	403648	CLDN3	claudin 3
CLDN2	403649	CLDN2	claudin 2
SCNN1A	403650	SCNN1A	sodium channel epithelial 1 subunit alpha
COL1A1	403651	COL1A1	collagen type I alpha 1 chain
PDE1A	403652	PDE1A	phosphodiesterase 1A
TBXT	403653	TBXT	T-box transcription factor T
PPARA	403654	PPARA	peroxisome proliferator activated receptor alpha
SLC22A2	403655	SLC22A2	solute carrier family 22 member 2
ANGPT1	403656	ANGPT1	angiopoietin 1
EGF	403657	EGF	epidermal growth factor
BDKRB2	403658	BDKRB2	bradykinin receptor B2
POMC	403659	POMC	proopiomelanocortin
IL1RN	403660	IL1RN	interleukin 1 receptor antagonist
TEKT1	403661	TEKT1	tektin 1
PTPN13	403662	PTPN13	protein tyrosine phosphatase non-receptor type 13
MSX2	403663	MSX2	msh homeobox 2
SPINT2	403665	SPINT2	serine peptidase inhibitor, Kunitz type 2
HNRNPAB	403666	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B
SRSF6	403667	SRSF6	serine and arginine rich splicing factor 6
COL6A1	403668	COL6A1	collagen type VI alpha 1 chain
ATP5F1B	403669	ATP5F1B	ATP synthase F1 subunit beta
RHOB	403670	RHOB	ras homolog family member B
UBE2S	403671	UBE2S	ubiquitin conjugating enzyme E2 S
HS3ST1	403672	HS3ST1	heparan sulfate-glucosamine 3-sulfotransferase 1
SLC2A4	403673	SLC2A4	solute carrier family 2 member 4
EIF1	403674	EIF1	eukaryotic translation initiation factor 1
CFDP1	403675	CFDP1	craniofacial development protein 1
TSPAN31	403676	TSPAN31	tetraspanin 31
RPS3A	403677	RPS3A	ribosomal protein S3A
RPL7A	403678	RPL7A	ribosomal protein L7a
RPL13A	403680	RPL13A	ribosomal protein L13a
RPS17	403681	RPS17	ribosomal protein S17
RPL19	403682	RPL19	ribosomal protein L19
RPL23	403683	RPL23	ribosomal protein L23
RPS11	403684	RPS11	ribosomal protein S11
RPS18	403685	RPS18	ribosomal protein S18
HMGN2	403686	HMGN2	high mobility group nucleosomal binding domain 2
SRSF3	403687	SRSF3	serine and arginine rich splicing factor 3
RPL27	403688	RPL27	ribosomal protein L27
TRIM28	403689	TRIM28	tripartite motif containing 28
RPS14	403690	RPS14	ribosomal protein S14
RPL6	403691	RPL6	ribosomal protein L6
NFE2L1	403692	NFE2L1	nuclear factor, erythroid 2 like 1
MDM2	403693	MDM2	MDM2 proto-oncogene
GALK1	403694	GALK1	galactokinase 1
TUBG1	403695	TUBG1	tubulin, gamma 1
CTLA4	403696	CTLA4	cytotoxic T-lymphocyte associated protein 4
SLC4A8	403697	SLC4A8	solute carrier family 4 member 8
NPC1	403698	NPC1	NPC intracellular cholesterol transporter 1
GPR83	403699	GPR83	G protein-coupled receptor 83
SLC3A1	403700	SLC3A1	solute carrier family 3 member 1
DRD2	403701	DRD2	dopamine receptor D2
ACTR3	403702	ACTR3	actin related protein 3
TFRC	403703	TFRC	transferrin receptor
UACA	403704	UACA	uveal autoantigen with coiled-coil domains and ankyrin repeats
KCNC1	403705	KCNC1	potassium voltage-gated channel subfamily C member 1
SGSH	403707	SGSH	N-sulfoglucosamine sulfohydrolase
LOC403708	403708	LOC403708	cathepsin L2 pseudogene
ME1	403709	ME1	malic enzyme 1
MAGEB10	403710	MAGEB10	melanoma antigen family B, 10
PGA	403711	PGA	pepsinogen 5, group I (pepsinogen A)
NPY5R	403712	NPY5R	neuropeptide Y receptor Y5
ATOX1	403713	ATOX1	antioxidant 1 copper chaperone
TEK	403714	TEK	TEK receptor tyrosine kinase
SRD5A2	403715	SRD5A2	steroid 5 alpha-reductase 2
SRD5A1	403716	SRD5A1	steroid 5 alpha-reductase 1
KCNJ2	403717	KCNJ2	potassium inwardly rectifying channel subfamily J member 2
GNRHR	403718	GNRHR	gonadotropin releasing hormone receptor
DUOX2	403719	DUOX2	dual oxidase 2
DUOX1	403720	DUOX1	dual oxidase 1
GHR	403721	GHR	growth hormone receptor
UBA52	403722	UBA52	ubiquitin A-52 residue ribosomal protein fusion product 1
CLCN1	403723	CLCN1	chloride voltage-gated channel 1
CASP4	403724	CASP4	caspase 4, apoptosis-related cysteine peptidase
RPGR	403726	RPGR	retinitis pigmentosa GTPase regulator
FLT1	403727	FLT1	fms related receptor tyrosine kinase 1
YBX3	403728	YBX3	Y-box binding protein 3
ATP6V0E1	403729	ATP6V0E1	ATPase H+ transporting V0 subunit e1
LALBA	403730	LALBA	lactalbumin alpha
ATP2B4	403731	ATP2B4	ATPase plasma membrane Ca2+ transporting 4
AQP1	403732	AQP1	aquaporin 1 (Colton blood group)
MMP2	403733	MMP2	matrix metallopeptidase 2
HRAS	403735	HRAS	HRas proto-oncogene, GTPase
ALPI	403736	ALPI	alkaline phosphatase, intestinal
GYS2	403737	GYS2	glycogen synthase 2
PYGL	403738	PYGL	glycogen phosphorylase L
COL17A1	403739	COL17A1	collagen type XVII alpha 1 chain
PTGDS	403740	PTGDS	prostaglandin D2 synthase
HTR1B	403741	HTR1B	5-hydroxytryptamine receptor 1B
RLN2	403742	RLN2	relaxin 2
SPTBN1	403743	SPTBN1	spectrin beta, non-erythrocytic 1
MX2	403744	MX2	MX dynamin like GTPase 2
MX1	403745	MX1	MX dynamin like GTPase 1
CLUL1	403747	CLUL1	clusterin like 1
SLC1A3	403748	SLC1A3	solute carrier family 1 member 3
SLC1A6	403749	SLC1A6	solute carrier family 1 member 6
SLC1A2	403750	SLC1A2	solute carrier family 1 member 2
SLC1A1	403751	SLC1A1	solute carrier family 1 member 1
TJP1	403752	TJP1	tight junction protein 1
POU1F1	403753	POU1F1	POU class 1 homeobox 1
FER	403754	FER	FER tyrosine kinase
GAPDH	403755	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
CD38	403756	CD38	CD38 molecule
CHRNA1	403757	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit
KCND3	403758	KCND3	potassium voltage-gated channel subfamily D member 3
KCNJ12	403760	KCNJ12	potassium inwardly rectifying channel subfamily J member 12
KCNH2	403761	KCNH2	potassium voltage-gated channel subfamily H member 2
BGLAP	403762	BGLAP	bone gamma-carboxyglutamate protein
MMP13	403763	MMP13	matrix metallopeptidase 13
CD86	403764	CD86	CD86 molecule
CD80	403765	CD80	CD80 molecule
CUBN	403767	CUBN	cubilin
MT2A	403768	MT2A	metallothionein 1H
MT4	403769	MT4	metallothionein 4
ITGB2	403770	ITGB2	integrin subunit beta 2
CXADR	403772	CXADR	CXADR Ig-like cell adhesion molecule
RAB8A	403773	RAB8A	RAB8A, member RAS oncogene family
RAB1A	403774	RAB1A	RAB1A, member RAS oncogene family
TRDN	403776	TRDN	triadin
OPN1LW	403778	OPN1LW	opsin 1, medium wave sensitive
PTH1R	403779	PTH1R	parathyroid hormone 1 receptor
NPHP1	403780	NPHP1	nephrocystin 1
PDE6D	403781	PDE6D	phosphodiesterase 6D
IL1A	403782	IL1A	interleukin 1 alpha
AGT	403783	AGT	angiotensinogen
NOS3	403784	NOS3	nitric oxide synthase 3
IL4	403785	IL4	interleukin 4
DHDH	403786	DHDH	dihydrodiol dehydrogenase
S100A4	403787	S100A4	S100 calcium binding protein A4
ITGB3	403788	ITGB3	integrin subunit beta 3
ITGA2B	403789	ITGA2B	integrin subunit alpha 2b
IL5	403790	IL5	interleukin 5
ACTR1A	403791	ACTR1A	actin related protein 1A
CE10	403792	CE10	CE10 protein
LY6G5C	403793	LY6G5C	lymphocyte antigen 6 family member G5C
CE9	403794	CE9	CE9 protein
GH1	403795	GH1	growth hormone
IL18	403796	IL18	interleukin 18
PTGER2	403797	PTGER2	prostaglandin E receptor 2
FCER1G	403798	FCER1G	Fc fragment of IgE receptor Ig
MS4A2	403799	MS4A2	membrane spanning 4-domains A2
MT1E	403800	MT1E	metallothionein 1E
IFNG	403801	IFNG	interferon gamma
VEGFA	403802	VEGFA	vascular endothelial growth factor A
RPE65	403803	RPE65	retinoid isomerohydrolase RPE65
AVPR2	403804	AVPR2	arginine vasopressin receptor 2
ADORA3	403805	ADORA3	adenosine A3 receptor
MYH7	403807	MYH7	myosin heavy chain 7
MYH8	403808	MYH8	myosin heavy chain 8
RRBP1	403809	RRBP1	ribosome binding protein 1
IL33	403810	IL33	interleukin 33
KIT	403811	KIT	KIT proto-oncogene, receptor tyrosine kinase
HRH2	403812	HRH2	histamine receptor H2
HRH1	403813	HRH1	histamine receptor H1
TACR3	403814	TACR3	tachykinin receptor 3
TACR1	403815	TACR1	tachykinin receptor 1
TIMP1	403816	TIMP1	TIMP metallopeptidase inhibitor 1
ADM	403817	ADM	adrenomedullin
GDI2	403818	GDI2	GDP dissociation inhibitor 2
GDI1	403819	GDI1	GDP dissociation inhibitor 1
ATP12A	403820	ATP12A	ATPase H+/K+ transporting non-gastric alpha2 subunit
CTF1	403821	CTF1	cardiotrophin 1
NOS2	403822	NOS2	nitric oxide synthase 2
MMP14	403823	MMP14	matrix metallopeptidase 14
COL1A2	403824	COL1A2	collagen type I alpha 2 chain
PDE5A	403825	PDE5A	phosphodiesterase 5A
COL2A1	403826	COL2A1	collagen type II alpha 1 chain
CHRM3	403827	CHRM3	cholinergic receptor muscarinic 3
ACAN	403828	ACAN	aggrecan
CANF2	403829	CANF2	minor allergen Can f 2
OBP2B	403830	OBP2B	odorant binding protein 2B
GUSB	403831	GUSB	glucuronidase beta
PTEN	403832	PTEN	phosphatase and tensin homolog
GBGT1	403833	GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1
AGTR2	403835	AGTR2	angiotensin II receptor type 2
AGTR1	403836	AGTR1	angiotensin II receptor type 1
REN	403838	REN	renin
COL4A6	403840	COL4A6	collagen type IV alpha 6 chain
COL4A4	403841	COL4A4	collagen type IV alpha 4 chain
COL4A3	403842	COL4A3	collagen type IV alpha 3 chain
COL4A2	403843	COL4A2	collagen type IV alpha 2 chain
OCLN	403844	OCLN	occludin
FN1	403845	FN1	fibronectin 1
ASPH	403846	ASPH	aspartate beta-hydroxylase
SCAMPER	403847	SCAMPER	sphingolipid Ca2+ release mediating protein of endoplasmic reticulum
PLA2G7	403848	PLA2G7	phospholipase A2 group VII
PFKM	403849	PFKM	phosphofructokinase, muscle
CXCL8	403850	CXCL8	C-X-C motif chemokine ligand 8
IL2RG	403851	IL2RG	interleukin 2 receptor subunit gamma
TJP3	403852	TJP3	tight junction protein 3
TJP2	403854	TJP2	tight junction protein 2
PON2	403855	PON2	paraoxonase 2
MAPK14	403856	MAPK14	mitogen-activated protein kinase 14
FGF2	403857	FGF2	fibroblast growth factor 2
CHRM2	403858	CHRM2	cholinergic receptor muscarinic 2
ADCY5	403859	ADCY5	adenylate cyclase 5
DSC2	403860	DSC2	desmocollin 2
QPCT	403861	QPCT	glutaminyl-peptide cyclotransferase
EDNRB	403862	EDNRB	endothelin receptor type B
GUCY2D	403863	GUCY2D	guanylate cyclase 2D, retinal
RAB22A	403864	RAB22A	RAB22A, member RAS oncogene family
RAB12	403865	RAB12	RAB12, member RAS oncogene family
ADRA1A	403866	ADRA1A	adrenoceptor alpha 1A
LIPF	403867	LIPF	lipase F, gastric type
FGF8	403868	FGF8	fibroblast growth factor 8
TP53	403869	TP53	tumor protein p53
IL2RA	403870	IL2RA	interleukin 2 receptor subunit alpha
KRAS	403871	KRAS	KRAS proto-oncogene, GTPase
NRAS	403872	NRAS	NRAS proto-oncogene, GTPase
GLB1	403873	GLB1	galactosidase beta 1
PKM	403874	PKM	pyruvate kinase M1/2
F8	403875	F8	coagulation factor VIII
GPX5	403877	GPX5	glutathione peroxidase 5
ATP2A2	403878	ATP2A2	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2
ABCB1	403879	ABCB1	ATP binding cassette subfamily B member 1
STXBP2	403880	STXBP2	syntaxin binding protein 2
HTR2B	403881	HTR2B	5-hydroxytryptamine receptor 2B
HTR2A	403882	HTR2A	5-hydroxytryptamine receptor 2A
ERBB2	403883	ERBB2	erb-b2 receptor tyrosine kinase 2
TRIB2	403884	TRIB2	tribbles pseudokinase 2
MMP9	403885	MMP9	matrix metallopeptidase 9
PDPN	403886	PDPN	podoplanin
CREM	403887	CREM	cAMP responsive element modulator
CNGA1	403891	CNGA1	cyclic nucleotide gated channel subunit alpha 1
SULT1A1	403892	SULT1A1	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 1
RPS4X	403893	RPS4X	ribosomal protein S4 X-linked
ZP3	403894	ZP3	zona pellucida glycoprotein 3
GNGT1	403895	GNGT1	G protein subunit gamma transducin 1
SMN	403896	SMN	survival motor neuron
NR4A1	403897	NR4A1	nuclear receptor subfamily 4 group A member 1
OR8G5	403898	OR8G5	olfactory receptor family 8 subfamily G member 5
OR9S7	403899	OR9S7	olfactory receptor family 9 subfamily S member 7
OR2A5	403900	OR2A5	olfactory receptor family 2 subfamily A member 5
OR9S25	403901	OR9S25	olfactory receptor family 9 subfamily S member 25
OR8J2C	403902	OR8J2C	olfactory receptor family 8 subfamily J member 2C
OR7E24	403903	OR7E24	olfactory receptor family 7 subfamily E member 24
DCN	403904	DCN	decorin
BGN	403905	BGN	biglycan
SAG	403906	SAG	S-antigen visual arrestin
PNN	403907	PNN	pinin, desmosome associated protein
CANX	403908	CANX	calnexin
IAPP	403909	IAPP	islet amyloid polypeptide
ADRB2	403910	ADRB2	adrenoceptor beta 2
PDE6G	403911	PDE6G	phosphodiesterase 6G
GNB1	403912	GNB1	G protein subunit beta 1
ANPEP	403913	ANPEP	alanyl aminopeptidase, membrane
GNA11	403914	GNA11	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
FGF7	403915	FGF7	fibroblast growth factor 7
GALC	403916	GALC	galactosylceramidase
YES1	403917	YES1	YES proto-oncogene 1, Src family tyrosine kinase
CD52	403918	CD52	CD52 molecule
WFDC2	403919	WFDC2	WAP four-disulfide core domain 2
NPC2	403920	NPC2	NPC intracellular cholesterol transporter 2
TFPI	403921	TFPI	tissue factor pathway inhibitor
TNF	403922	TNF	tumor necrosis factor
CSF2	403923	CSF2	colony stimulating factor 2
MYC	403924	MYC	MYC proto-oncogene, bHLH transcription factor
KCNB2	403925	KCNB2	potassium voltage-gated channel subfamily B member 2
PAX8	403927	PAX8	paired box 8
GNAQ	403928	GNAQ	G protein subunit alpha q
FUCA1	403929	FUCA1	alpha-L-fucosidase 1
SRP14	403930	SRP14	signal recognition particle 14
CD4	403931	CD4	CD4 molecule
MAL	403933	MAL	mal, T cell differentiation protein
CDC42	403934	CDC42	cell division cycle 42
ANXA13	403935	ANXA13	annexin A13
VASP	403936	VASP	vasodilator stimulated phosphoprotein
INPP5A	403937	INPP5A	inositol polyphosphate-5-phosphatase A
LMAN2	403938	LMAN2	lectin, mannose binding 2
CD44	403939	CD44	CD44 molecule
NKX2-1	403940	NKX2-1	NK2 homeobox 1
RAB5C	403941	RAB5C	RAB5C, member RAS oncogene family
KLK1	403942	KLK1	kallikrein 1
GNAS	403943	GNAS	GNAS complex locus
SRP72	403944	SRP72	signal recognition particle 72
APOH	403945	APOH	apolipoprotein H
CALCA	403946	CALCA	calcitonin related polypeptide alpha
