alias	gene_id	gene_symbol	gene_desc
Nr3c1	24413	Nr3c1	nuclear receptor subfamily 3, group C, member 1
Grm1	24414	Grm1	glutamate metabotropic receptor 1
Grm2	24415	Grm2	glutamate metabotropic receptor 2
Grm3	24416	Grm3	glutamate metabotropic receptor 3
Grm4	24417	Grm4	glutamate metabotropic receptor 4
Grm5	24418	Grm5	glutamate metabotropic receptor 5
Grm6	24419	Grm6	glutamate metabotropic receptor 6
Gspt1	24420	Gspt1	G1 to S phase transition 1
Gsta1	24421	Gsta1	glutathione S-transferase alpha 1
Gsta2	24422	Gsta2	glutathione S-transferase alpha 2
Gstm1	24423	Gstm1	glutathione S-transferase mu 1
Gstm2	24424	Gstm2	glutathione S-transferase mu 2
Gstp1	24426	Gstp1	glutathione S-transferase pi 1
Gusb	24434	Gusb	glucuronidase, beta
H1f0	24437	H1f0	H1 histone family, member 0
H1f6	24438	H1f6	H1.6 linker histone, cluster member
Hagh	24439	Hagh	hydroxyacyl glutathione hydrolase
Hbb	24440	Hbb	hemoglobin subunit beta
Hd	24442	Hd	hypodactyly
Hdc	24443	Hdc	histidine decarboxylase
Hgf	24446	Hgf	hepatocyte growth factor
Hrh1	24448	Hrh1	histamine receptor H 1
Hmgcs2	24450	Hmgcs2	3-hydroxy-3-methylglutaryl-CoA synthase 2
Hmox1	24451	Hmox1	heme oxygenase 1
Hoxb8	24457	Hoxb8	homeo box B8
Hoxc4	24459	Hoxc4	homeo box C4
Hoxc8	24460	Hoxc8	homeobox C8
Hp	24464	Hp	haptoglobin
Hprt1	24465	Hprt1	hypoxanthine phosphoribosyltransferase 1
Hspa8	24468	Hspa8	heat shock protein family A (Hsp70) member 8
Hsd3b5	24470	Hsd3b5	hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 5
Hspb1	24471	Hspb1	heat shock protein family B (small) member 1
Hspa1b	24472	Hspa1b	heat shock protein family A (Hsp70) member 1B
Htr1a	24473	Htr1a	5-hydroxytryptamine receptor 1A
Iapp	24476	Iapp	islet amyloid polypeptide
Ibsp	24477	Ibsp	integrin-binding sialoprotein
Idh1	24479	Idh1	isocitrate dehydrogenase (NADP(+)) 1
Ifnb1	24481	Ifnb1	interferon beta 1
Igf1	24482	Igf1	insulin-like growth factor 1
Igf2	24483	Igf2	insulin-like growth factor 2
Igfbp3	24484	Igfbp3	insulin-like growth factor binding protein 3
Igh@	24485	Igh@	Immunoglobulin heavy chain gene cluster (V,D,J,C)
Igkc	24491	Igkc	Immunoglobulin kappa constant region
Igl	24492	Igl	immunoglobulin lambda chain complex
Il1a	24493	Il1a	interleukin 1 alpha
Il1b	24494	Il1b	interleukin 1 beta
Il3	24495	Il3	interleukin 3
Il5	24497	Il5	interleukin 5
Il6	24498	Il6	interleukin 6
Il6r	24499	Il6r	interleukin 6 receptor
Il9r	24500	Il9r	interleukin 9 receptor
Ina	24503	Ina	internexin neuronal intermediate filament protein, alpha
Inha	24504	Inha	inhibin subunit alpha
Ins1	24505	Ins1	insulin 1
Ins2	24506	Ins2	insulin 2
Irf1	24508	Irf1	interferon regulatory factor 1
Itgb1	24511	Itgb1	integrin subunit beta 1
Ivd	24513	Ivd	isovaleryl-CoA dehydrogenase
Jak2	24514	Jak2	Janus kinase 2
Jun	24516	Jun	Jun proto-oncogene, AP-1 transcription factor subunit
Junb	24517	Junb	JunB proto-oncogene, AP-1 transcription factor subunit
Jund	24518	Jund	JunD proto-oncogene, AP-1 transcription factor subunit
Kcna1	24520	Kcna1	potassium voltage-gated channel subfamily A member 1
Kcnj1	24521	Kcnj1	potassium inwardly-rectifying channel, subfamily J, member 1
Zfp354a	24522	Zfp354a	zinc finger protein 354A
Klk1	24523	Klk1	kallikrein 1
Kras	24525	Kras	KRAS proto-oncogene, GTPase
Lalba	24528	Lalba	lactalbumin, alpha
Lcat	24530	Lcat	lecithin cholesterol acyltransferase
Ldha	24533	Ldha	lactate dehydrogenase A
Ldhb	24534	Ldhb	lactate dehydrogenase B
Lepr	24536	Lepr	leptin receptor
Lipc	24538	Lipc	lipase C, hepatic type
Lpl	24539	Lpl	lipoprotein lipase
Lre3	24540	Lre3	LINE retrotransposable element 3
Slco2a1	24546	Slco2a1	solute carrier organic anion transporter family, member 2a1
Mbp	24547	Mbp	myelin basic protein
Mbl1	24548	Mbl1	mannose binding lectin 1
Mdh1	24551	Mdh1	malate dehydrogenase 1
Me1	24552	Me1	malic enzyme 1
Met	24553	Met	MET proto-oncogene, receptor tyrosine kinase
Mlvi2	24555	Mlvi2	Moloney murine leukemia virus (MoMuLV) integration site 2 homolog
Mog	24558	Mog	myelin oligodendrocyte glycoprotein
Mos	24559	Mos	MOS proto-oncogene, serine/threonine kinase
Cd200	24560	Cd200	Cd200 molecule
Mpg	24561	Mpg	N-methylpurine-DNA glycosylase
Mpz	24564	Mpz	myelin protein zero
Abcc1	24565	Abcc1	ATP binding cassette subfamily C member 1
Mst1	24566	Mst1	macrophage stimulating 1
Mt1	24567	Mt1	metallothionein 1
Mt1-ps1	24568	Mt1-ps1	metallothionein 1, pseudogene 1
Mt1-ps2	24569	Mt1-ps2	metallothionein 1, pseudogene 2
Muc1	24571	Muc1	mucin 1, cell surface associated
Muc2	24572	Muc2	mucin 2, oligomeric mucus/gel-forming
Mup1	24574	Mup1	major urinary protein 1
Mx1	24575	Mx1	myxovirus (influenza virus) resistance 1
Myc	24577	Myc	MYC proto-oncogene, bHLH transcription factor
Mycs	24581	Mycs	myc-like oncogene, s-myc protein
Myh11	24582	Myh11	myosin heavy chain 11
Myh3	24583	Myh3	myosin heavy chain 3
Mylpf	24584	Mylpf	myosin light chain, phosphorylatable, fast skeletal muscle
Myl3	24585	Myl3	myosin light chain 3
Ncam1	24586	Ncam1	neural cell adhesion molecule 1
Nefh	24587	Nefh	neurofilament heavy
Nefm	24588	Nefm	neurofilament medium
Mme	24590	Mme	membrane metallo-endopeptidase
Neu1	24591	Neu1	neuraminidase 1
Nf1	24592	Nf1	neurofibromin 1
Klk1b3	24594	Klk1b3	kallikrein 1-related peptidase B3
Ngfr	24596	Ngfr	nerve growth factor receptor
Nos1	24598	Nos1	nitric oxide synthase 1
Nos2	24599	Nos2	nitric oxide synthase 2
Nos3	24600	Nos3	nitric oxide synthase 3
Nppa	24602	Nppa	natriuretic peptide A
Npr1	24603	Npr1	natriuretic peptide receptor 1
Npy	24604	Npy	neuropeptide Y
Nras	24605	Nras	NRAS proto-oncogene, GTPase
Odc1	24609	Odc1	ornithine decarboxylase 1
Odf1	24610	Odf1	outer dense fiber of sperm tails 1
Gnal	24611	Gnal	G protein subunit alpha L
Omp	24612	Omp	olfactory marker protein
Oprd1	24613	Oprd1	opioid receptor, delta 1
Orm1	24614	Orm1	orosomucoid 1
S100a4	24615	S100a4	S100 calcium-binding protein A4
Pah	24616	Pah	phenylalanine hydroxylase
Serpine1	24617	Serpine1	serpin family E member 1
Reg3b	24618	Reg3b	regenerating family member 3 beta
Reg3g	24620	Reg3g	regenerating family member 3 gamma
Pccb	24624	Pccb	propionyl-CoA carboxylase subunit beta
Pde4b	24626	Pde4b	phosphodiesterase 4B
Pde4d	24627	Pde4d	phosphodiesterase 4D
Pdgfb	24628	Pdgfb	platelet derived growth factor subunit B
Pdgfrb	24629	Pdgfrb	platelet derived growth factor receptor beta
Rhox5	24631	Rhox5	Rhox homeobox family member 5
Pfkfb1	24638	Pfkfb1	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1
Pfkfb2	24640	Pfkfb2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2
Flg	24641	Flg	filaggrin
Pgam1	24642	Pgam1	phosphoglycerate mutase 1
Pgk1	24644	Pgk1	phosphoglycerate kinase 1
Pgm1	24645	Pgm1	phosphoglucomutase 1
Abcb1b	24646	Abcb1b	ATP-binding cassette, subfamily B (MDR/TAP), member 1B
Pgy4	24647	Pgy4	P-glycoprotein 4
Serpina1	24648	Serpina1	serpin family A member 1
Pim1	24649	Pim1	Pim-1 proto-oncogene, serine/threonine kinase
Pkd1	24650	Pkd1	polycystin 1, transient receptor potential channel interacting
Pklr	24651	Pklr	pyruvate kinase L/R
Pla2g4a	24653	Pla2g4a	phospholipase A2 group IVA
Plcb1	24654	Plcb1	phospholipase C beta 1
Plcd1	24655	Plcd1	phospholipase C, delta 1
Prl4a1	24656	Prl4a1	prolactin family 4, subfamily a, member 1
Prl6a1	24657	Prl6a1	prolactin family 6, subfamily a, member 1
Pmch	24659	Pmch	pro-melanin-concentrating hormone
Pmp22	24660	Pmp22	peripheral myelin protein 22
Pnmt	24661	Pnmt	phenylethanolamine-N-methyltransferase
Pomc	24664	Pomc	proopiomelanocortin
Ppm1a	24666	Ppm1a	protein phosphatase, Mg2+/Mn2+ dependent, 1A
Ppm1b	24667	Ppm1b	protein phosphatase, Mg2+/Mn2+ dependent, 1B
Ppp1ca	24668	Ppp1ca	protein phosphatase 1 catalytic subunit alpha
Ppp1cc	24669	Ppp1cc	protein phosphatase 1 catalytic subunit gamma
Ppp2ca	24672	Ppp2ca	protein phosphatase 2 catalytic subunit alpha
Ppp2cb	24673	Ppp2cb	protein phosphatase 2 catalytic subunit beta
Ppp3ca	24674	Ppp3ca	protein phosphatase 3 catalytic subunit alpha
Ppp3cb	24675	Ppp3cb	protein phosphatase 3 catalytic subunit beta
Ppy	24677	Ppy	pancreatic polypeptide
Pkib	24678	Pkib	cAMP-dependent protein kinase inhibitor beta
Prkar2b	24679	Prkar2b	protein kinase cAMP-dependent type II regulatory subunit beta
Prkca	24680	Prkca	protein kinase C, alpha
Prkcg	24681	Prkcg	protein kinase C, gamma
Prl	24683	Prl	prolactin
Prlr	24684	Prlr	prolactin receptor
Prm1	24685	Prm1	protamine 1
Prnp	24686	Prnp	prion protein
Prp15	24687	Prp15	proline-rich protein 15
Prph	24688	Prph	peripherin
Prps2	24689	Prps2	phosphoribosyl pyrophosphate synthetase 2
Prss1	24691	Prss1	serine protease 1
Ptgs1	24693	Ptgs1	prostaglandin-endoperoxide synthase 1
Pth	24694	Pth	parathyroid hormone
Pthlh	24695	Pthlh	parathyroid hormone-like hormone
Ptpn1	24697	Ptpn1	protein tyrosine phosphatase, non-receptor type 1
Ptprc	24699	Ptprc	protein tyrosine phosphatase, receptor type, C
Pygm	24701	Pygm	glycogen phosphorylase, muscle associated
Raf1	24703	Raf1	Raf-1 proto-oncogene, serine/threonine kinase
Rara	24705	Rara	retinoic acid receptor, alpha
Rarb	24706	Rarb	retinoic acid receptor, beta
Rb1	24708	Rb1	RB transcriptional corepressor 1
Rbp2	24710	Rbp2	retinol binding protein 2
Rbp3	24711	Rbp3	retinol binding protein 3
Reg1a	24714	Reg1a	regenerating family member 1 alpha
Ren	24715	Ren	renin
Ret	24716	Ret	ret proto-oncogene
Rho	24717	Rho	rhodopsin
Reln	24718	Reln	reelin
Rn5sp	24719	Rn5sp	ribosomal 5S RNA, pseudogene 1
Rn5s	24720	Rn5s	5S RNA
Rn45s	24723	Rn45s	45S pre-ribosomal RNA
RT1-EC2	24737	RT1-EC2	RT1 class Ib, locus EC2
RT1-B	24738	RT1-B	RT1 class II, locus B
RT1-M3-1	24747	RT1-M3-1	RT1 class Ib, locus M3, gene 1
RT1-N1	24748	RT1-N1	RT1 class Ib, locus N1
RT1-N3	24750	RT1-N3	RT1 class Ib, locus N3
RT1-O1	24751	RT1-O1	RT1 class Ib, locus O1
Acsm3	24763	Acsm3	acyl-CoA synthetase medium-chain family member 3
Scg2	24765	Scg2	secretogranin II
Scn2a	24766	Scn2a	sodium voltage-gated channel alpha subunit 2
Scnn1b	24767	Scnn1b	sodium channel epithelial 1 subunit beta
Scnn1g	24768	Scnn1g	sodium channel epithelial 1 subunit gamma
Sct	24769	Sct	secretin
Ccl2	24770	Ccl2	C-C motif chemokine ligand 2
Sdc4	24771	Sdc4	syndecan 4
Cxcl12	24772	Cxcl12	C-X-C motif chemokine ligand 12
Sftpa1	24773	Sftpa1	surfactant protein A1
Shbg	24775	Shbg	sex hormone binding globulin
Slc10a1	24777	Slc10a1	solute carrier family 10 member 1
Slc2a1	24778	Slc2a1	solute carrier family 2 member 1
Slc4a1	24779	Slc4a1	solute carrier family 4 member 1 (Diego blood group)
Slc4a2	24780	Slc4a2	solute carrier family 4 member 2
Slc4a3	24781	Slc4a3	solute carrier family 4 member 3
Slc9a1	24782	Slc9a1	solute carrier family 9 member A1
Slc9a2	24783	Slc9a2	solute carrier family 9 member A2
Slc9a3	24784	Slc9a3	solute carrier family 9 member A3
Slc9a4	24785	Slc9a4	solute carrier family 9 member A4
Sod1	24786	Sod1	superoxide dismutase 1
Sod2	24787	Sod2	superoxide dismutase 2
Sord	24788	Sord	sorbitol dehydrogenase
Sp1	24790	Sp1	Sp1 transcription factor
Sparc	24791	Sparc	secreted protein acidic and cysteine rich
Agxt	24792	Agxt	alanine--glyoxylate and serine--pyruvate aminotransferase
Serpina3c	24794	Serpina3c	serine (or cysteine) proteinase inhibitor, clade A, member 3C
Serpina3n	24795	Serpina3n	serine (or cysteine) peptidase inhibitor, clade A, member 3N
Spn	24796	Spn	sialophorin
Sst	24797	Sst	somatostatin
Eef1a2	24799	Eef1a2	eukaryotic translation elongation factor 1 alpha 2
Sts	24800	Sts	steroid sulfatase
Svs4	24802	Svs4	seminal vesicle secretory protein 4
Vamp2	24803	Vamp2	vesicle-associated membrane protein 2
Syp	24804	Syp	synaptophysin
Syt2	24805	Syt2	synaptotagmin 2
Tac1	24806	Tac1	tachykinin, precursor 1
Tacr1	24807	Tacr1	tachykinin receptor 1
Tacr3	24808	Tacr3	tachykinin receptor 3
Tap1	24811	Tap1	transporter 1, ATP binding cassette subfamily B member
Tap2	24812	Tap2	transporter 2, ATP binding cassette subfamily B member
Tat	24813	Tat	tyrosine aminotransferase
Tbxa2r	24816	Tbxa2r	thromboxane A2 receptor
Hnf1a	24817	Hnf1a	HNF1 homeobox A
Tcp1	24818	Tcp1	t-complex 1
Tcrb	24820	Tcrb	T-cell receptor beta chain
Trg	24821	Trg	T cell receptor gamma locus
Tmbim6	24822	Tmbim6	transmembrane BAX inhibitor motif containing 6
Tf	24825	Tf	transferrin
Tg	24826	Tg	thyroglobulin
Tgfa	24827	Tgfa	transforming growth factor alpha
H2ac1	24828	H2ac1	H2A clustered histone 1
H2bc1	24829	H2bc1	H2B clustered histone 1
Thrb	24831	Thrb	thyroid hormone receptor beta
Thy1	24832	Thy1	Thy-1 cell surface antigen
Spink1	24833	Spink1	serine peptidase inhibitor, Kazal type 1
Tk1	24834	Tk1	thymidine kinase 1
Tnf	24835	Tnf	tumor necrosis factor
Tnnt2	24837	Tnnt2	troponin T2, cardiac type
Tnnt3	24838	Tnnt3	troponin T3, fast skeletal type
Tnp1	24839	Tnp1	transition protein 1
Tnp2	24840	Tnp2	transition protein 2
Klk1c2	24841	Klk1c2	kallikrein 1-related peptidase C2
Tp53	24842	Tp53	tumor protein p53
Tph1	24848	Tph1	tryptophan hydroxylase 1
Tpi1	24849	Tpi1	triosephosphate isomerase 1
Tpm1	24851	Tpm1	tropomyosin 1
Tpm4	24852	Tpm4	tropomyosin 4
Trnan1	24853	Trnan1	transfer RNA asparagine 1 (anticodon GUU)
Clu	24854	Clu	clusterin
Tsc2	24855	Tsc2	TSC complex subunit 2
Ttr	24856	Ttr	transthyretin
Ucp1	24860	Ucp1	uncoupling protein 1
Ugt1a1	24861	Ugt1a1	UDP glucuronosyltransferase family 1 member A1
Ugt2b	24862	Ugt2b	UDP glycosyltransferase 2 family, polypeptide B
Pgc	24864	Pgc	progastricsin
Smr3b	24867	Smr3b	submaxillary gland androgen regulated protein 3B
Vdr	24873	Vdr	vitamin D receptor
Vhl	24874	Vhl	von Hippel-Lindau tumor suppressor
Vipr1	24875	Vipr1	vasoactive intestinal peptide receptor 1
Vsnl1	24877	Vsnl1	visinin-like 1
Wnt1	24881	Wnt1	Wnt family member 1
Wnt3	24882	Wnt3	Wnt family member 3
Wt1	24883	Wt1	WT1 transcription factor
Yes1	24884	Yes1	YES proto-oncogene 1, Src family tyrosine kinase
Tbxas1	24886	Tbxas1	thromboxane A synthase 1
Bax	24887	Bax	BCL2 associated X, apoptosis regulator
Bcl2l1	24888	Bcl2l1	Bcl2-like 1
Cckar	24889	Cckar	cholecystokinin A receptor
Esr1	24890	Esr1	estrogen receptor 1
Abcb4	24891	Abcb4	ATP binding cassette subfamily B member 4
Pgy2	24892	Pgy2	P-glycoprotein 2/ multidrug resistance 1b
Cyp2a1	24894	Cyp2a1	cytochrome P450, family 2, subfamily a, polypeptide 1
Cyp2a2	24895	Cyp2a2	cytochrome P450, family 2, subfamily a, polypeptide 2
Gnas	24896	Gnas	GNAS complex locus
Slc6a3	24898	Slc6a3	solute carrier family 6 member 3
Smcp	24899	Smcp	sperm mitochondria-associated cysteine-rich protein
Sult2a6	24902	Sult2a6	sulfotransferase family 2A, dehydroepiandrosterone (DHEA)-preferring, member 6
Kng2	24903	Kng2	kininogen 2
Slc22a1	24904	Slc22a1	solute carrier family 22 member 1
LOC24906	24906	LOC24906	RoBo-1
Dmd	24907	Dmd	dystrophin
Dnajb9	24908	Dnajb9	DnaJ heat shock protein family (Hsp40) member B9
Sult2a1	24912	Sult2a1	sulfotransferase family 2A member 1
Plaat3	24913	Plaat3	phospholipase A and acyltransferase 3
Lox	24914	Lox	lysyl oxidase
Pdlim4	24915	Pdlim4	PDZ and LIM domain 4
Rnf112	24916	Rnf112	ring finger protein 112
Kpnb1	24917	Kpnb1	karyopherin subunit beta 1
Stat5a	24918	Stat5a	signal transducer and activator of transcription 5A
Yy1	24919	Yy1	YY1 transcription factor
Gabrb3	24922	Gabrb3	gamma-aminobutyric acid type A receptor subunit beta 3
Stx1b	24923	Stx1b	syntaxin 1B
Ptn	24924	Ptn	pleiotrophin
Adrb1	24925	Adrb1	adrenoceptor beta 1
Ceacam3	24926	Ceacam3	carcinoembryonic antigen-related cell adhesion molecule 3
Ptger3	24929	Ptger3	prostaglandin E receptor 3
Cd8a	24930	Cd8a	CD8a molecule
Cd8b	24931	Cd8b	CD8b molecule
Cd4	24932	Cd4	Cd4 molecule
Klra22	24933	Klra22	killer cell lectin-like receptor subfamily A, member 22
Klrk1	24934	Klrk1	killer cell lectin like receptor K1
Cd9	24936	Cd9	CD9 molecule
Kap	24937	Kap	kidney androgen regulated protein
Grpr	24938	Grpr	gastrin releasing peptide receptor
Atp7a	24941	Atp7a	ATPase copper transporting alpha
Chm	24942	Chm	CHM Rab escort protein
Plp1	24943	Plp1	proteolipid protein 1
Lamp2	24944	Lamp2	lysosomal-associated membrane protein 2
F9	24946	F9	coagulation factor IX
